Membro
Luis Ronaldo Rodriguez
Jeison Murillo
Liam Dillon
Sean Davis
Keshani Hansika Keshani Hansika
Jankos
St-amiran
RoX
Harstem
Elia Rokobuli
Bélgica
Mark Anthony Geraldo
Luana Pinheiro
Denis Zhevna
David Chmelik
James Maddison
Matheus Mattos
Team Anvorgesa
Jeremiah Wells
Daniel Lacerda da Silva
Vairo Lenti
Gabriel Escobar Mascunano
Angel Moreno
Arnold Barboza Jr
Saif-Eddine Khaoui
Mario Gutiérrez
eSuba
eHug
Yves Landu
catman
Domarus
Avazbek Kholmirzaev
Zoravor Petrosian
Marie Loiseau
H2k-Gaming
Robert Whittaker
Clepson Antonio Dos Santos Paiva
Paul McCloskey
Farbod Iran Nezhad
Sanzhar Zakirov
Michael Blair
Jamahal Hill
Shuri Hasebe
Bobby Winther
LW Blue
Bakhtyaar Oryakhail
Ben Petches-Kelly
Roman Cherevko
ex-Windigo Gaming
Ludek Stoces
Toninho Gavinho
Junsung Oh
ByuN
Classic
Patrick Chinyemba
Lazaro Alvarez
Karolina Kowalkiewicz
Mate Kertesz
David Zawada
Kai Ishizawa
Alan Kwiecinski
Andres Cortes
Jack Cartwright
Aleksej Titov
StoRm
Roman Alov
Team WE
Natural 9
Japhethlee Llamido
Evil Geniuses
Polónia
Charles Jourdain
Super
DeMusliM
Maple
Julian Marquez
Charlie Senior
Cassius Connor
Ben Tynan
Akbar Abdullayev
Jaismine Jaismine
Yaroslav Khartsyz
ForGG
Levi
Raymond Muratalla
Team BDS
Holly Holm
Muhammad Mokaev
Anton Aleshkin
Roman Paulus
Evgeniy Ilyukhin
Daiki Tsubota
Adílson Silva
Nassourdine Imavov
Red Reserve
Karim Guerfi
Isfak Seyid
True
Bogdan Sr. Panchenko
Joseph Perez
Duke Ragan
Destiny Jones
Xavier Vines
Team Braveheart
INTZ
Union Gaming
Akari Ogata
Filipe Dos Santos
XHope XHope
Team Sirius
Wildcard Gaming
Miguel Madueno
Matheus Pereira
Kenshiro Teraji
Seed
Stephano
AcatSuki
Timo Boll
Viktoria Souza
Rex Regum Qeon
Jared Cannonier
Itsuki Hirata
Christian Rodriguez
Martin Lorinc
Gary Russell
Vladimir Svoboda
Aitana Alvarez
Sandy Ryan
Sofiane Oumiha
Rain
Team Conquest
Mathieu Germain
E-Frag.net
Yuriorkis Gamboa
Trust
Juan Perez
Vazha Tsiptauri
Flash Lux
IVANNVKN
Avidity Esports
Vitaliy Dyrl
Palestina
Golden Boys
Sergio Pettis
Kevin Holland
JieShi
Anatolii Nazarov
Jennifer Han
Koki Inoue
Made in Philippines
Noah Bey
Michal Dreczkowski
Jarred Brooks
FDL.int
Innova
Jackson de Oliveira
bebe
Albkobe98
Jakub Dohnal
AMKAL ESPORTS
Chris Weidman
Alexander Osetrov
Galakticos
Aleksandra Toncheva Plamenova
Atlanta Reign
Igor Wojtas
Omã
Jorge Kanella
Sergey Khomutov
Dragon Gate Team
Charlie Leary
Pitbull
Dongsoo Kang
Alberto Mercado
Nikolaos Serbezis
Iurii Tsatko
Proximus ePro League
Lynn Vision
ShotCallers
Andrew Cain
Lourdes Juarez
Shanghai Dragons
Gavin Reid
Donovan Mitchell
Maximilian Bajlitz
Diego Vazquez
Zest
Ablaikhan Zhussupov
Renewal
Angelo Leo
iAsonu
Batuhan Ciftci
Igor Shyndel
Arturo Popoca
Chequina Noso Pedro
Welington Lemes
Maisey Rose Courtney
Ivan Filatov
Vitalii Kyilo
Uros Medic
